no,group
1,神経・筋疾患
2,神経・筋疾患
3,神経・筋疾患
4,神経・筋疾患
5,神経・筋疾患
6,神経・筋疾患
7,神経・筋疾患
8,神経・筋疾患
9,神経・筋疾患
10,神経・筋疾患
11,神経・筋疾患
12,神経・筋疾患
13,神経・筋疾患
14,神経・筋疾患
15,神経・筋疾患
16,神経・筋疾患
17,神経・筋疾患
18,神経・筋疾患
19,代謝疾患
20,代謝疾患
21,代謝疾患
22,神経・筋疾患
23,神経・筋疾患
24,神経・筋疾患
25,神経・筋疾患
26,神経・筋疾患
27,神経・筋疾患
28,代謝疾患
29,神経・筋疾患
30,神経・筋疾患
31,神経・筋疾患
32,神経・筋疾患
33,神経・筋疾患
34,皮膚・結合組織疾患
35,皮膚・結合組織疾患
36,皮膚・結合組織疾患
37,皮膚・結合組織疾患
38,皮膚・結合組織疾患
39,皮膚・結合組織疾患
40,免疫疾患
41,免疫疾患
42,免疫疾患
43,免疫疾患
44,免疫疾患
45,免疫疾患
46,免疫疾患
47,循環器疾患
48,免疫疾患
49,免疫疾患
50,免疫疾患
51,免疫疾患
52,免疫疾患
53,免疫疾患
54,免疫疾患
55,免疫疾患
56,免疫疾患
57,循環器疾患
58,循環器疾患
59,循環器疾患
60,血液疾患
61,血液疾患
62,血液疾患
63,血液疾患
64,血液疾患
65,血液疾患
66,腎・泌尿器疾患
67,腎・泌尿器疾患
68,骨・関節疾患
69,骨・関節疾患
70,骨・関節疾患
71,骨・関節疾患
72,内分泌疾患
73,内分泌疾患
74,内分泌疾患
75,内分泌疾患
76,内分泌疾患
77,内分泌疾患
78,内分泌疾患
79,代謝疾患
80,内分泌疾患
81,内分泌疾患
82,内分泌疾患
83,内分泌疾患
84,呼吸器疾患
85,呼吸器疾患
86,呼吸器疾患
87,呼吸器疾患
88,呼吸器疾患
89,呼吸器疾患
90,視覚疾患
91,消化器疾患
92,消化器疾患
93,消化器疾患
94,消化器疾患
95,消化器疾患
96,消化器疾患
97,消化器疾患
98,消化器疾患
99,消化器疾患
100,消化器疾患
101,消化器疾患
102,染色体・遺伝子異常
103,染色体・遺伝子異常
104,染色体・遺伝子異常
105,染色体・遺伝子異常
106,免疫疾患
107,免疫疾患
108,免疫疾患
109,腎・泌尿器疾患
110,免疫疾患
111,神経・筋疾患
112,神経・筋疾患
113,神経・筋疾患
114,神経・筋疾患
115,神経・筋疾患
116,神経・筋疾患
117,神経・筋疾患
118,神経・筋疾患
119,神経・筋疾患
120,神経・筋疾患
121,神経・筋疾患
122,神経・筋疾患
123,神経・筋疾患
124,神経・筋疾患
125,神経・筋疾患
126,神経・筋疾患
127,神経・筋疾患
128,神経・筋疾患
129,神経・筋疾患
130,神経・筋疾患
131,神経・筋疾患
132,神経・筋疾患
133,神経・筋疾患
134,視覚疾患
135,神経・筋疾患
136,神経・筋疾患
137,神経・筋疾患
138,神経・筋疾患
139,神経・筋疾患
140,神経・筋疾患
141,神経・筋疾患
142,神経・筋疾患
143,神経・筋疾患
144,神経・筋疾患
145,神経・筋疾患
146,神経・筋疾患
147,神経・筋疾患
148,神経・筋疾患
149,神経・筋疾患
150,神経・筋疾患
151,神経・筋疾患
152,神経・筋疾患
153,神経・筋疾患
154,神経・筋疾患
155,神経・筋疾患
156,神経・筋疾患
157,神経・筋疾患
158,神経・筋疾患
159,皮膚・結合組織疾患
160,皮膚・結合組織疾患
161,皮膚・結合組織疾患
162,皮膚・結合組織疾患
163,皮膚・結合組織疾患
164,視覚疾患
165,染色体・遺伝子異常
166,皮膚・結合組織疾患
167,循環器疾患
168,染色体・遺伝子異常
169,代謝疾患
170,染色体・遺伝子異常
171,代謝疾患
172,骨・関節疾患
173,染色体・遺伝子異常
174,染色体・遺伝子異常
175,染色体・遺伝子異常
176,染色体・遺伝子異常
177,神経・筋疾患
178,染色体・遺伝子異常
179,循環器疾患
180,染色体・遺伝子異常
181,聴覚・平衡機能疾患
182,聴覚・平衡機能疾患
183,聴覚・平衡機能疾患
184,聴覚・平衡機能疾患
185,染色体・遺伝子異常
186,染色体・遺伝子異常
187,染色体・遺伝子異常
188,循環器疾患
189,循環器疾患
190,聴覚・平衡機能疾患
191,内分泌疾患
192,染色体・遺伝子異常
193,内分泌疾患
194,染色体・遺伝子異常
195,染色体・遺伝子異常
196,染色体・遺伝子異常
197,染色体・遺伝子異常
198,染色体・遺伝子異常
199,染色体・遺伝子異常
200,染色体・遺伝子異常
201,神経・筋疾患
202,染色体・遺伝子異常
203,循環器疾患
204,染色体・遺伝子異常
205,染色体・遺伝子異常
206,染色体・遺伝子異常
207,循環器疾患
208,循環器疾患
209,循環器疾患
210,循環器疾患
211,循環器疾患
212,循環器疾患
213,循環器疾患
214,循環器疾患
215,循環器疾患
216,循環器疾患
217,循環器疾患
218,腎・泌尿器疾患
219,腎・泌尿器疾患
220,腎・泌尿器疾患
221,腎・泌尿器疾患
222,腎・泌尿器疾患
223,腎・泌尿器疾患
224,腎・泌尿器疾患
225,腎・泌尿器疾患
226,腎・泌尿器疾患
227,染色体・遺伝子異常
228,呼吸器疾患
229,呼吸器疾患
230,呼吸器疾患
231,呼吸器疾患
232,内分泌疾患
233,内分泌疾患
234,代謝疾患
235,内分泌疾患
236,内分泌疾患
237,内分泌疾患
238,内分泌疾患
239,内分泌疾患
240,代謝疾患
241,代謝疾患
242,代謝疾患
243,代謝疾患
244,代謝疾患
245,代謝疾患
246,代謝疾患
247,代謝疾患
248,代謝疾患
249,代謝疾患
250,代謝疾患
251,代謝疾患
252,代謝疾患
253,代謝疾患
254,代謝疾患
255,代謝疾患
256,代謝疾患
257,代謝疾患
258,代謝疾患
259,代謝疾患
260,代謝疾患
261,代謝疾患
262,代謝疾患
263,神経・筋疾患
264,代謝疾患
265,内分泌疾患
266,免疫疾患
267,免疫疾患
268,免疫疾患
269,免疫疾患
270,骨・関節疾患
271,骨・関節疾患
272,骨・関節疾患
273,骨・関節疾患
274,骨・関節疾患
275,骨・関節疾患
276,骨・関節疾患
277,呼吸器疾患
278,呼吸器疾患
279,循環器疾患
280,循環器疾患
281,循環器疾患
282,血液疾患
283,血液疾患
284,血液疾患
285,血液疾患
286,血液疾患
287,染色体・遺伝子異常
288,血液疾患
289,消化器疾患
290,消化器疾患
291,消化器疾患
292,消化器疾患
293,消化器疾患
294,呼吸器疾患
295,消化器疾患
296,消化器疾患
297,消化器疾患
298,消化器疾患
299,消化器疾患
300,免疫疾患
301,視覚疾患
302,視覚疾患
303,視覚疾患
303,聴覚・平衡機能疾患
304,聴覚・平衡機能疾患
305,聴覚・平衡機能疾患
306,聴覚・平衡機能疾患
306,免疫疾患
307,神経・筋疾患
308,神経・筋疾患
309,神経・筋疾患
310,染色体・遺伝子異常
311,循環器疾患
312,循環器疾患
313,循環器疾患
314,循環器疾患
315,腎・泌尿器疾患
316,代謝疾患
317,代謝疾患
318,代謝疾患
319,代謝疾患
320,神経・筋疾患
321,代謝疾患
322,代謝疾患
323,代謝疾患
324,代謝疾患
325,免疫疾患
326,代謝疾患
327,血液疾患
328,視覚疾患
329,視覚疾患
330,聴覚・平衡機能疾患
330,呼吸器疾患
331,血液疾患
332,視覚疾患
333,染色体・遺伝子異常
334,神経・筋疾患
335,腎・泌尿器疾患
336,代謝疾患
337,代謝疾患
338,消化器疾患
339,神経・筋疾患
340,呼吸器疾患
341,骨・関節疾患
342,神経・筋疾患
343,神経・筋疾患
343,染色体・遺伝子異常
344,代謝疾患
345,免疫疾患
345,染色体・遺伝子異常
346,消化器疾患
347,血液疾患
348,神経・筋疾患
348,腎・泌尿器疾患
348,視覚疾患
